index,whisky,score,reviews,cost,class,cluster,country,type
238,Glen Moray Classic Sherry Cask finish,8.51,4,2,SingleMalt-like,B,Scotland,Malt
239,Glenglassaugh 26yo,8.51,5,6,SingleMalt-like,A,Scotland,Malt
240,Kilchoman Madeira Cask Matured,8.51,9,5,SingleMalt-like,C,Scotland,Malt
241,Jura 16yo Diurach's Own,8.49,15,4,SingleMalt-like,C,Scotland,Malt
242,Smogen Primí_r,8.49,4,5,SingleMalt-like,C,Sweden,Malt
243,Aberfeldy 16yo,8.48,4,4,SingleMalt-like,C,Scotland,Malt
244,Bushmills 16yo Single Malt,8.48,18,4,SingleMalt-like,B,Ireland,Malt
245,Dalmore Cigar Malt,8.48,6,3,SingleMalt-like,C,Scotland,Malt
246,Glenfiddich 19yo Age of Discovery (Madeira Cask),8.48,13,5,SingleMalt-like,A,Scotland,Malt
247,Glengoyne Cask Strength (batch 3),8.48,6,4,SingleMalt-like,B,Scotland,Malt
248,Highland Park Dark Origins,8.48,20,4,SingleMalt-like,C,Scotland,Malt
249,Teeling Single Malt,8.47,8,4,SingleMalt-like,C,Ireland,Malt
250,Highland Park 12yo Saint Magnus,8.45,5,4,SingleMalt-like,C,Scotland,Malt
251,BenRiach 15yo Tawny Port Finish,8.44,13,4,SingleMalt-like,C,Scotland,Malt
252,Longrow Red 11yo Cabernet Sauvignon,8.44,11,5,SingleMalt-like,C,Scotland,Malt
253,Glenlivet Nadurra Oloroso,8.43,12,4,SingleMalt-like,A,Scotland,Malt
254,Glenmorangie Milsean,8.43,11,5,SingleMalt-like,A,Scotland,Malt
255,Glentauchers 1991 18yo (Gordon & MacPhail),8.43,3,4,SingleMalt-like,B,Scotland,Malt
256,Lismore 21yo,8.43,3,5,SingleMalt-like,C,Scotland,Malt
257,Macallan 10yo Sherry Oak,8.42,11,3,SingleMalt-like,A,Scotland,Malt
258,Wemyss Malts The Spice King,8.42,13,3,SingleMalt-like,C,Scotland,Malt
259,Westland Sherry Wood,8.42,13,4,SingleMalt-like,B,USA,Malt
260,Balvenie 12yo Doublewood,8.41,23,4,SingleMalt-like,A,Scotland,Malt
261,Blair Athol 12yo (F&F),8.41,8,3,SingleMalt-like,C,Scotland,Malt
262,Glenmorangie Lasanta,8.41,21,3,SingleMalt-like,A,Scotland,Malt
263,Bruichladdich Rocks,8.38,10,4,SingleMalt-like,C,Scotland,Malt
264,Bushmills Black Bush,8.38,22,2,SingleMalt-like,C,Ireland,Blend
265,Glen Garioch 1999 Sherry Cask Matured,8.38,7,4,SingleMalt-like,B,Scotland,Malt
266,GlenDronach 14yo Sauternes Cask Finish,8.38,6,4,SingleMalt-like,A,Scotland,Malt
267,GlenDronach 15yo Tawny Port Finish,8.38,5,4,SingleMalt-like,A,Scotland,Malt
268,Singleton of Glen Ord 18yo,8.38,3,4,SingleMalt-like,C,Scotland,Malt
269,Bladnoch 15yo Adela,8.36,4,5,SingleMalt-like,C,Scotland,Malt
270,Jura 21yo,8.36,6,5,SingleMalt-like,C,Scotland,Malt
271,Aberlour 12yo Double Cask Matured,8.35,17,3,SingleMalt-like,B,Scotland,Malt
272,Bladnoch Samsara,8.35,3,4,SingleMalt-like,C,Scotland,Malt
273,Glen Garioch 16yo Renaissance Chapter II,8.35,4,4,SingleMalt-like,C,Scotland,Malt
274,Glenfarclas 10yo,8.35,16,3,SingleMalt-like,B,Scotland,Malt
275,Tomatin Cu Bocan Sherry Edition,8.35,4,4,SingleMalt-like,C,Scotland,Malt
276,Arran Malt Pomerol Bordeaux Cask Finish,8.34,8,4,SingleMalt-like,C,Scotland,Malt
277,Dalmore King Alexander III,8.34,10,5,SingleMalt-like,C,Scotland,Malt
278,Glencadam 12yo Port Wood Finish,8.34,6,3,SingleMalt-like,C,Scotland,Malt
279,Tyrconnell 10yo Sherry Cask Finish,8.34,7,4,SingleMalt-like,B,Ireland,Malt
280,Balvenie 12yo Triple Cask,8.33,11,4,SingleMalt-like,A,Scotland,Malt
281,Dalmore Cigar Malt Reserve,8.33,12,5,SingleMalt-like,C,Scotland,Malt
282,Benrinnes 15yo F&F,8.32,7,4,SingleMalt-like,C,Scotland,Malt
283,Dalmore 15yo,8.31,20,4,SingleMalt-like,C,Scotland,Malt
284,Jura 12yo Elixir,8.31,10,3,SingleMalt-like,C,Scotland,Malt
285,Arran Malt Sherry Cask Finish,8.3,11,5,SingleMalt-like,C,Scotland,Malt
286,Glenfiddich Malt Master's Edition,8.3,7,4,SingleMalt-like,A,Scotland,Malt
287,Kavalan Concertmaster Port Cask,8.3,20,4,SingleMalt-like,C,Taiwan,Malt
288,Aberlour 10yo,8.27,15,2,SingleMalt-like,C,Scotland,Malt
289,Auchentoshan Three Wood,8.27,23,4,SingleMalt-like,A,Scotland,Malt
290,Jura 21yo 200th Anniversary,8.27,4,5,SingleMalt-like,C,Scotland,Malt
291,Writers Tears Red Head Single Malt,8.27,4,3,SingleMalt-like,C,Irish,Malt
292,Macallan 1824 Select Oak,8.26,12,3,SingleMalt-like,C,Scotland,Malt
293,Bowmore Black Rock,8.25,9,2,SingleMalt-like,C,Scotland,Malt
294,Wemyss Malts Velvet Fig,8.25,5,3,SingleMalt-like,A,Scotland,Malt
295,Glenfiddich Reserve Cask,8.24,8,3,SingleMalt-like,A,Scotland,Malt
296,Glen Moray 16yo,8.23,6,3,SingleMalt-like,C,Scotland,Malt
297,Glenrothes Robur Reserve,8.22,6,2,SingleMalt-like,B,Scotland,Malt
298,Tullibardine 500 Sherry Finish,8.22,8,3,SingleMalt-like,C,Scotland,Malt
299,Mackmyra Blomstertid,8.2,3,4,SingleMalt-like,C,Sweden,Malt
300,Ben Nevis 10yo,8.17,11,3,SingleMalt-like,C,Scotland,Malt
301,Bushmills 21yo Single Malt,8.16,12,5,SingleMalt-like,C,Ireland,Malt
302,Bushmills Sherry Cask Reserve,8.16,3,4,SingleMalt-like,C,Ireland,Malt
303,Singleton of Dufftown Tailfire,8.14,3,2,SingleMalt-like,C,Scotland,Malt
304,Glenrothes Sherry Cask Reserve,8.13,10,4,SingleMalt-like,A,Scotland,Malt
305,Dalmore Gran Reserva,8.07,9,3,SingleMalt-like,C,Scotland,Malt
